Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,28.930000,29.700001,27.100000,28.400000,19.060146,74820200
2005-02-01,28.875000,29.955000,27.450001,28.225000,18.942699,82936800
2005-03-01,28.500000,32.270000,28.250000,31.820000,21.355415,153292400
2005-04-01,31.900000,32.540001,28.299999,28.750000,19.336714,107226000
2005-05-01,28.940001,34.750000,28.844999,33.724998,22.682802,117202600
2005-06-01,33.724998,37.755001,33.500000,36.639999,24.643372,89419800
2005-07-01,36.869999,38.625000,36.415001,37.935001,25.562994,79847200
2005-08-01,37.790001,39.025002,34.075001,34.490002,23.241545,112198400
2005-09-01,34.450001,34.665001,31.334999,33.435001,22.610605,146331000
2005-10-01,33.224998,33.445000,28.780001,30.684999,20.750904,117099600
2005-11-01,30.450001,34.985001,30.049999,32.215000,21.785582,111302800
2005-12-01,32.500000,34.424999,31.754999,33.165001,22.428022,96256000
2006-01-01,33.275002,37.480000,32.375000,33.314999,22.612654,147108200
2006-02-01,33.099998,36.294998,33.049999,35.520000,24.109310,83360800
2006-03-01,35.674999,37.195000,34.785000,36.500000,24.774481,87433600
2006-04-01,36.494999,39.209999,35.939999,38.924999,26.512671,91158400
2006-05-01,39.189999,39.695000,35.139999,36.415001,24.803053,110007200
2006-06-01,36.650002,36.924999,33.459999,36.599998,24.929064,91799200
2006-07-01,36.560001,36.959999,32.570000,35.110001,24.003815,87323400
2006-08-01,34.860001,38.889999,33.520000,37.980000,25.965961,96174100
2006-09-01,38.090000,44.139999,37.799999,43.209999,29.541573,103702700
2006-10-01,43.000000,45.009998,42.610001,43.910000,30.114183,110152600
2006-11-01,44.020000,44.080002,39.119999,42.090000,28.865986,179484600
2006-12-01,40.650002,41.599998,37.389999,38.130001,26.150162,133136800
2007-01-01,38.200001,41.610001,36.119999,41.490002,28.550673,125703100
2007-02-01,41.599998,45.000000,40.880001,44.669998,30.738926,124888300
2007-03-01,44.000000,46.700001,42.520000,45.049999,31.000429,163070200
2007-04-01,45.299999,46.520000,43.830002,43.919998,30.308907,118358100
2007-05-01,43.459999,44.849998,38.070000,39.930000,27.555433,203941700
2007-06-01,39.750000,43.110001,38.070000,39.779999,27.451925,121627300
2007-07-01,40.049999,45.500000,36.070000,36.070000,24.975145,180170500
2007-08-01,36.299999,36.709999,29.129999,31.719999,21.963171,153161300
2007-09-01,31.360001,34.139999,28.510000,32.320000,22.378614,117331200
2007-10-01,32.320000,35.759998,29.840000,32.029999,22.275646,117232600
2007-11-01,31.549999,32.570000,27.180000,29.650000,20.620449,150417500
2007-12-01,29.690001,31.549999,24.700001,25.870001,17.991604,113769600
2008-01-01,25.879999,28.330000,20.940001,27.620001,19.294888,234521600
2008-02-01,27.379999,28.469999,23.340000,24.680000,17.241055,191051300
2008-03-01,24.730000,26.559999,21.010000,23.059999,16.109344,133295500
2008-04-01,23.280001,26.360001,22.110001,25.290001,17.762960,110784800
2008-05-01,25.230000,27.080000,22.280001,23.670000,16.625122,127358200
2008-06-01,23.670000,23.670000,18.940001,19.420000,13.640048,152781800
2008-07-01,19.059999,19.959999,14.330000,18.809999,13.292141,208137500
2008-08-01,19.020000,22.459999,17.590000,20.820000,14.712515,174410700
2008-09-01,20.969999,22.959999,16.719999,17.980000,12.705619,208445000
2008-10-01,17.230000,17.820000,7.650000,12.290000,8.737881,341196000
2008-11-01,12.100000,12.470000,5.070000,7.420000,5.275433,282324400
2008-12-01,7.200000,10.750000,6.300000,10.350000,7.358585,289684200
2009-01-01,10.440000,11.930000,8.540000,8.950000,6.460421,221329700
2009-02-01,8.700000,9.910000,7.300000,7.870000,5.680840,300002300
2009-03-01,7.570000,9.880000,6.270000,8.900000,6.424329,306514800
2009-04-01,8.350000,14.090000,8.350000,13.680000,9.942243,299345300
2009-05-01,13.660000,15.290000,10.950000,11.680000,8.488698,270577200
2009-06-01,11.900000,14.050000,10.470000,11.760000,8.546839,268473100
2009-07-01,11.890000,14.120000,10.270000,13.910000,10.149584,210314100
2009-08-01,14.150000,16.639999,13.580000,15.520000,11.324331,269970300
2009-09-01,15.350000,19.160000,14.610000,18.290001,13.345494,237131000
2009-10-01,18.139999,20.840000,16.889999,17.570000,12.859757,254018600
2009-11-01,17.690001,19.770000,15.880000,16.309999,11.937540,312226700
2009-12-01,16.430000,18.070000,15.480000,16.760000,12.266905,250401500
2010-01-01,16.900000,17.660000,15.390000,15.930000,11.695806,214274300
2010-02-01,15.610000,19.549999,15.340000,19.150000,14.059928,240400100
2010-03-01,19.209999,22.270000,19.180000,21.770000,15.983532,242324100
2010-04-01,21.990000,25.250000,21.930000,23.200001,17.074129,205650900
2010-05-01,23.379999,24.840000,19.900000,22.209999,16.345535,283446900
