Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,11.325000,11.417500,10.587500,10.828750,8.916346,154428800
2005-02-01,10.828750,10.986250,10.325000,10.868750,8.949282,209337600
2005-03-01,10.878750,11.065000,10.180000,10.413750,8.574640,312577600
2005-04-01,10.485000,10.530000,9.387500,9.601250,7.917104,249906400
2005-05-01,9.601250,10.465000,9.475000,10.275000,8.472671,235928000
2005-06-01,10.287500,11.366250,10.261250,10.825000,8.926196,326050400
2005-07-01,10.771250,11.062500,10.428750,10.475000,8.650326,238440000
2005-08-01,10.476250,11.125000,9.670000,9.863750,8.145553,356301600
2005-09-01,9.863750,10.656250,9.566250,10.210000,8.431491,495809600
2005-10-01,10.260000,10.540000,9.992500,10.506250,8.690230,261707200
2005-11-01,10.500000,11.068750,10.428750,10.662500,8.819476,213472000
2005-12-01,10.718750,11.442500,10.468750,10.848750,8.973534,354718400
2006-01-01,10.848750,11.020000,10.075000,10.118750,8.384706,347512800
2006-02-01,10.156250,10.978750,10.151250,10.847500,8.988571,252378400
2006-03-01,10.831250,11.005000,10.503750,10.637500,8.814560,318510400
2006-04-01,10.637500,10.732500,10.045000,10.230000,8.492382,206466400
2006-05-01,10.253750,10.387500,9.673750,10.038750,8.333618,267000000
2006-06-01,10.051250,10.621250,9.862500,10.125000,8.405216,326280000
2006-07-01,10.131250,10.218750,9.750000,9.875000,8.213453,315201600
2006-08-01,9.875000,10.118750,9.440000,10.095000,8.396435,421105600
2006-09-01,10.095000,11.113750,9.982500,10.952500,9.109658,450955200
2006-10-01,10.871250,11.758750,10.863750,11.485000,9.570885,259665600
2006-11-01,11.512500,12.412500,11.322500,12.368750,10.307341,213671200
2006-12-01,12.337500,12.650000,11.848750,12.378750,10.315680,258766400
2007-01-01,12.250000,12.543750,11.865000,12.351250,10.312197,273166400
2007-02-01,12.327500,13.612500,12.305000,13.058750,10.902893,283613600
2007-03-01,12.887500,13.762500,12.771250,13.282500,11.089704,329332800
2007-04-01,13.350000,13.775000,13.200000,13.465000,11.262001,203464800
2007-05-01,13.465000,14.280000,13.085000,14.187500,11.866293,259559600
2007-06-01,14.187500,14.815000,12.967500,14.572500,12.188305,389084000
2007-07-01,14.675000,15.087500,13.860000,14.112500,11.842893,319975200
2007-08-01,14.302500,14.657500,13.000000,14.085000,11.819817,346503200
2007-09-01,14.010000,15.247500,13.537500,14.665000,12.306537,291098800
2007-10-01,14.697500,16.642500,14.650000,16.565001,13.947491,353234800
2007-11-01,16.485001,16.547501,15.227500,16.412500,13.819089,233026000
2007-12-01,16.237499,16.982500,15.560000,16.059999,13.522290,233625200
2008-01-01,16.080000,16.174999,12.875000,15.332500,12.954930,419696000
2008-02-01,15.410000,15.750000,14.877500,15.050000,12.716237,240372800
2008-03-01,15.060000,17.650000,14.175000,17.000000,14.363854,388726800
2008-04-01,17.150000,17.500000,16.297501,16.700001,14.163952,292848000
2008-05-01,16.700001,17.219999,16.020000,17.092501,14.496846,262823600
2008-06-01,17.067499,17.570000,14.407500,14.902500,12.639415,380941200
2008-07-01,14.900000,15.107500,13.660000,14.670000,12.484485,398798800
2008-08-01,14.605000,16.200001,14.437500,15.152500,12.895105,239295600
2008-09-01,15.390000,17.000000,14.617500,16.725000,14.233335,429137200
2008-10-01,16.549999,16.754999,11.617500,14.407500,12.306817,580011200
2008-11-01,14.337500,14.625000,10.670000,13.312500,11.371469,379518400
2008-12-01,13.067500,14.332500,11.770000,12.750000,10.890983,364402400
2009-01-01,12.737500,13.500000,10.885000,11.312500,9.709751,280087600
2009-02-01,11.142500,12.280000,10.020000,10.382500,8.911518,289726800
2009-03-01,10.207500,12.072500,9.560000,11.722500,10.061662,412890800
2009-04-01,11.545000,14.075000,11.410000,13.117500,11.325566,287046000
2009-05-01,13.217500,14.285000,12.190000,14.262500,12.314150,309504000
2009-06-01,14.465000,14.987500,12.540000,12.945000,11.176631,379703200
2009-07-01,13.035000,14.442500,12.647500,14.160000,12.278422,297748000
2009-08-01,14.245000,14.567500,13.700000,13.847500,12.007449,269588000
2009-09-01,13.725000,16.237499,13.305000,16.174999,14.025672,426029200
2009-10-01,16.000000,16.587500,15.270000,15.545000,13.542894,302178800
2009-11-01,15.585000,16.584999,15.450000,16.222500,14.133137,175682400
2009-12-01,16.317499,16.655001,15.437500,16.517500,14.390141,214435200
2010-01-01,16.514999,16.517500,15.737500,15.937500,13.942450,183847600
2010-02-01,15.992500,16.962500,15.222500,16.900000,14.784461,196404000
2010-03-01,16.977501,18.837500,16.815001,18.375000,16.074821,245335600
2010-04-01,18.490000,19.632500,18.264999,18.977501,16.668438,199108000
2010-05-01,19.002501,19.637501,16.747499,18.094999,15.893309,370556400
2010-06-01,17.860001,18.980000,16.825001,16.887501,14.832735,306146800
2010-07-01,16.972500,18.527500,16.584999,18.410000,16.230017,268348800
2010-08-01,18.597500,18.750000,17.080000,17.500000,15.427772,221693200
2010-09-01,17.782499,20.424999,17.705000,20.035000,17.662601,283139600
2010-10-01,20.240000,20.850000,19.760000,20.360001,18.016546,222612800
2010-11-01,20.469999,21.742500,20.065001,21.532499,19.054100,189888800
2010-12-01,21.870001,23.122499,21.280001,21.355000,18.897026,212482800
2011-01-01,21.457500,21.645000,20.252501,20.620001,18.311399,181603600
2011-02-01,20.687500,22.290001,20.655001,22.257500,19.765558,177180400
2011-03-01,22.412500,22.780001,17.357500,18.924999,16.806171,425141200
2011-04-01,18.985001,20.682501,18.955000,20.580000,18.340240,223100800
2011-05-01,20.695000,21.632500,20.352501,21.112499,18.814779,197235200
2011-06-01,21.084999,22.645000,19.860001,22.495001,20.046825,337338800
2011-07-01,22.412500,23.557501,22.137501,22.537500,20.160782,241526400
2011-08-01,22.605000,22.615000,19.245001,21.662500,19.378054,346141200
2011-09-01,21.587500,23.139999,20.049999,21.377501,19.123114,327130000
2011-10-01,21.237499,24.420000,20.252501,24.087500,21.624683,232694800
2011-11-01,23.377501,24.375000,22.447500,24.045000,21.586536,196018400
2011-12-01,23.840000,24.562500,23.222500,24.092501,21.629175,221889600
2012-01-01,24.342501,26.235001,24.127501,25.997499,23.427086,193462000
2012-02-01,26.102501,27.070000,25.642500,26.980000,24.312447,148473600
2012-03-01,27.222500,28.242500,26.517500,27.110001,24.429590,230840400
2012-04-01,27.105000,28.000000,26.482500,27.967501,25.286661,178009200
2012-05-01,27.977501,28.702499,26.067499,27.045000,24.452583,205013600
2012-06-01,26.572500,27.477501,21.275000,21.945000,19.907440,339438800
2012-07-01,22.097500,24.437500,22.007500,23.337500,21.170647,277826000
2012-08-01,23.377501,24.822500,22.760000,24.340000,22.080065,212740400
2012-09-01,24.297501,25.230000,23.197500,23.727501,21.603241,252478000
2012-10-01,23.727501,24.525000,22.580000,22.844999,20.799747,198277200
2012-11-01,22.975000,25.082500,22.412500,24.370001,22.188221,188968400
2012-12-01,24.415001,26.557501,24.152500,25.799999,23.490191,187460200
2013-01-01,26.200001,27.785000,25.700001,27.025000,24.711777,149268200
2013-02-01,27.230000,27.950001,26.750000,27.230000,24.899231,123347800
2013-03-01,27.209999,30.125000,26.635000,29.504999,27.084166,197793600
2013-04-01,29.500000,31.885000,28.990000,31.799999,29.190868,147312200
2013-05-01,31.780001,33.035000,30.780001,30.830000,28.300459,143206000
2013-06-01,30.799999,32.035000,29.555000,31.840000,29.325447,179310200
2013-07-01,31.969999,32.330002,30.950001,31.459999,28.975456,139193800
2013-08-01,31.620001,33.424999,31.299999,31.410000,28.929403,136639400
2013-09-01,31.805000,37.625000,31.750000,36.320000,33.562870,226198200
2013-10-01,36.520000,38.445000,34.980000,37.880001,35.004440,178418000
2013-11-01,37.900002,39.935001,37.790001,39.570000,36.566147,102247600
