period,company,yelp_avg_rating,normalized_yelp_avg_rating,yelp_no_of_reviews,yelp_5,percentage_yelp_5,yelp_4,yelp_3,yelp_2,yelp_1,glassdoor_avg_rating,normalized_glassdoor_avg_rating,glassdoor_no_of_reviews,glassdoor_5,percentage_glassdoor_5,glassdoor_4,glassdoor_3,glassdoor_2,glassdoor_1,months_after_stock_price,stock_price_change,price_increase_or_decrease
2018_3,Gap,2.6666666666666665,0.1969696969696969,0.4838709677419355,0.25,0.27777777777777773,0.3076923076923077,0.36363636363636365,0.2857142857142857,0.6666666666666666,3.535716135716136,0.9232717180386736,0.4098360655737705,0.525,0.7147147147147147,0.45652173913043476,0.36,0.4,0.35714285714285715,27.299999,1.0,0
2011_3,Gap,3.607142857142857,0.9237012987012987,0.8064516129032258,0.75,0.5357142857142857,1.0,0.36363636363636365,0.2857142857142857,0.3333333333333333,3.5931372549019605,0.9968415415212477,0.0942622950819672,0.225,1.0,0.07608695652173914,0.14666666666666667,0.06666666666666667,0.07142857142857142,18.900000,1.0,0
2011_2,Gap,3.2962962962962963,0.6835016835016834,0.7741935483870968,0.75,0.5555555555555555,0.5384615384615384,0.6363636363636364,0.42857142857142855,0.4444444444444444,3.2025193798449623,0.4963690929769844,0.13114754098360656,0.075,0.2635658914728682,0.16304347826086957,0.10666666666666667,0.36666666666666664,0.14285714285714285,19.290001,1.0,0
2011_1,Gap,2.7666666666666666,0.27424242424242423,0.8709677419354839,0.5,0.3333333333333333,0.5384615384615384,0.5454545454545454,0.5714285714285714,1.0,3.2476851851851847,0.5542370059233551,0.10245901639344263,0.15,0.6296296296296295,0.08695652173913043,0.09333333333333334,0.3,0.14285714285714285,23.240000,1.0,0
2018_1,Gap,2.5833333333333335,0.13257575757575776,0.2903225806451613,0.375,0.625,0.07692307692307693,0.18181818181818182,0.0,0.6666666666666666,3.4031747595127877,0.753455354483276,0.5368852459016393,0.625,0.6651017214397495,0.5217391304347826,0.48,0.6,0.7857142857142857,29.240000,1.0,0
2009_4,Gap,3.238095238095238,0.6385281385281385,0.5806451612903226,0.5,0.47619047619047616,0.46153846153846156,0.36363636363636365,0.7142857142857143,0.2222222222222222,3.204365079365079,0.4987338638108205,0.040983606557377046,0.025,0.17989417989417988,0.05434782608695652,0.08,0.1,0.14285714285714285,19.080000,1.0,0
2018_4,Gap,3.0588235294117645,0.49999999999999983,0.45161290322580644,0.5,0.588235294117647,0.23076923076923078,0.36363636363636365,0.2857142857142857,0.4444444444444444,3.4793502567892816,0.8510539030276323,0.29098360655737704,0.4,0.7371273712737128,0.2717391304347826,0.25333333333333335,0.4666666666666667,0.2857142857142857,25.440001,1.0,0
2011_4,Gap,3.3448275862068964,0.721003134796238,0.8387096774193549,0.75,0.5172413793103448,0.6153846153846154,0.7272727272727273,0.5714285714285714,0.3333333333333333,3.2421874999999996,0.547193191132356,0.0860655737704918,0.05,0.2361111111111111,0.08695652173913043,0.17333333333333334,0.1,0.14285714285714285,18.980000,1.0,0
2019_3,Gap,2.7058823529411766,0.22727272727272743,0.45161290322580644,0.625,0.7352941176470588,0.15384615384615385,0.09090909090909091,0.14285714285714285,0.8888888888888888,3.333176985616011,0.6637719079956933,0.45901639344262296,0.525,0.6449864498644987,0.41304347826086957,0.4,0.7333333333333333,0.5714285714285714,17.320000,1.0,0
2019_2,Gap,3.230769230769231,0.6328671328671329,0.3225806451612903,0.625,0.9615384615384616,0.0,0.36363636363636365,0.14285714285714285,0.3333333333333333,3.425780238280239,0.7824182361937224,0.3483606557377049,0.425,0.6689814814814815,0.32608695652173914,0.38666666666666666,0.3,0.5,19.500000,1.0,0
2008_3,Gap,2.9047619047619047,0.3809523809523809,0.5806451612903226,0.125,0.11904761904761904,0.5384615384615384,0.5454545454545454,0.42857142857142855,0.4444444444444444,2.815104166666667,0.0,0.020491803278688523,0.0,0.0,0.0,0.10666666666666667,0.06666666666666667,0.14285714285714285,12.940000,1.0,0
2008_2,Gap,2.875,0.35795454545454547,0.41935483870967744,0.0,0.0,0.38461538461538464,0.5454545454545454,0.42857142857142855,0.2222222222222222,3.0681818181818183,0.32425139762776567,0.0,0.05,0.6868686868686869,0.0,0.0,0.13333333333333333,0.07142857142857142,16.120001,1.0,0
