date,rating,link
2011-01-09,3.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2012-05-21,1.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2010-02-12,1.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2010-04-25,4.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2011-11-07,1.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2010-09-29,3.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2007-01-26,1.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2009-08-04,3.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2012-10-07,2.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2011-09-02,1.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2009-09-12,2.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2007-05-08,4.0,/biz/macys-los-angeles?osq=Macys+Department+Store
2019-12-06,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-11-29,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-10-06,4.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-12-08,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-12-20,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-10-22,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-11-26,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-09-28,4.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-11-27,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-09-01,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-07-24,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-07-30,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-12-25,3.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-12-04,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-02-23,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-12-02,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-01-05,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-08-28,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-01-11,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-07-24,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-04-01,3.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-12-15,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-12-09,3.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-02-22,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-06-28,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-11-08,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-12-05,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-07-19,4.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-08-14,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-03-29,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-10-15,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-06-11,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-06-15,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2019-02-04,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-07-07,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-09-04,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-12-26,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-07-05,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-05-26,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-08-09,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-04-07,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-07-11,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-12-30,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-10-11,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2018-06-25,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-11-25,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-12-19,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-01-17,4.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-12-13,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-07-15,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-08-31,3.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-01-29,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-11-28,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-10-07,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2014-03-23,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-08-17,3.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-07-08,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-12-06,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-03-21,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-03-06,4.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-03-03,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-01-20,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-11-26,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-04-03,3.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-04-13,3.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2014-09-01,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2013-10-08,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-01-29,3.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2014-12-12,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-08-15,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-07-22,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-05-10,4.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-04-06,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-11-13,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-02-08,4.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-12-14,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-11-28,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-03-13,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-11-27,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-02-08,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-09-09,4.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2014-08-29,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-01-03,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2014-07-07,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-02-05,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2014-12-10,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-01-27,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-05-17,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-07-26,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2017-02-21,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-01-15,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-07-07,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-08-24,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2013-04-19,5.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2013-05-27,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2012-12-05,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2012-12-17,1.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2016-04-12,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
2015-08-13,2.0,/biz/macys-los-angeles-3?osq=Macys+Department+Store
